Asin,Index,Name,Price,Pricefraction
B00UZ8X9H8,18,/Color-Eyeliner-Pencil-Babys-Black/dp/B00UZ8X9H8/ref=sr_1_12?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-12,0,99
B07WP4165D,19,/Multipurpose-Standard-leveler-cabinets-AikTryee/dp/B07WP4165D/ref=sr_1_13?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-13,9,95
B0725WFLMB,20,/Bedsure-Satin-Pillowcase-Hair-2-Pack/dp/B0725WFLMB/ref=sr_1_14?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-14,6,98
B013OKRGWW,21,/Dental-Remover-Resistant-Cleaning-PFAS-Free/dp/B013OKRGWW/ref=sr_1_15?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-15,1,29
B07QSY7XK6,22,/Tweezers-Set-Professional-Eyebrows/dp/B07QSY7XK6/ref=sr_1_16?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-16,7,99
B0CJ8R1Y24,23,/sspa/click?ie=UTF8&spc=MTo0NDM5MzUyNjc0MTgxNDI2OjE3MjIxOTk0ODQ6c3BfbXRmOjMwMDE2Mzg1NzAwNjAwMjo6MDo6&url=%2Ftoocki-Charger-Charging-iPhone15-MacBook%2Fdp%2FB0CJ8R1Y24%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw%26dib_tag%3Dse%26keywords%3Dfree%2Bshipping%26qid%3D1722199483%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,11,99
B0C331XBTN,24,/sspa/click?ie=UTF8&spc=MTo0NDM5MzUyNjc0MTgxNDI2OjE3MjIxOTk0ODQ6c3BfbXRmOjMwMDMxMjEzODUzNTIwMjo6MDo6&url=%2FGydom-Smart-Watch-Men-Built%2Fdp%2FB0C331XBTN%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw%26dib_tag%3Dse%26keywords%3Dfree%2Bshipping%26qid%3D1722199483%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,59,99
B0D2NSQ4GC,25,/sspa/click?ie=UTF8&spc=MTo0NDM5MzUyNjc0MTgxNDI2OjE3MjIxOTk0ODQ6c3BfbXRmOjMwMDIwNTc5ODc2NTcwMjo6MDo6&url=%2FPhone-Charger-Charging-Block-Compatible%2Fdp%2FB0D2NSQ4GC%2Fref%3Dsr_1_19_sspa%3Fdib%3DeyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw%26dib_tag%3Dse%26keywords%3Dfree%2Bshipping%26qid%3D1722199483%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,26,99
B0CHRLH52R,26,/sspa/click?ie=UTF8&spc=MTo0NDM5MzUyNjc0MTgxNDI2OjE3MjIxOTk0ODQ6c3BfbXRmOjMwMDA3NjQ5NTk2NzEwMjo6MDo6&url=%2FKTC-Monitor-125-25-Borderless-FreeSync%2Fdp%2FB0CHRLH52R%2Fref%3Dsr_1_20_sspa%3Fdib%3DeyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw%26dib_tag%3Dse%26keywords%3Dfree%2Bshipping%26qid%3D1722199483%26sr%3D8-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,129,99
B07JCSJF5G,27,/Gildan-Shirts-Multipack-Black-X-Large/dp/B07JCSJF5G/ref=sr_1_21?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-21,17,75
B082YQ4QWW,28,/wild-Mega-High-Shine-Color-Pinky/dp/B082YQ4QWW/ref=sr_1_22?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-22,2,28
B07D2LDG75,29,/ChapStick-Classic-Strawberry-Protectant-Flavored/dp/B07D2LDG75/ref=sr_1_23?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-23,1,38
B00AN5L8FS,30,/Air-Wick-Freshener-Lavender-Chamomile/dp/B00AN5L8FS/ref=sr_1_24?dib=eyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw&dib_tag=se&keywords=free+shipping&qid=1722199483&sr=8-24,2,58
B0BGKBCDN3,31,/sspa/click?ie=UTF8&spc=MTo0NDM5MzUyNjc0MTgxNDI2OjE3MjIxOTk0ODQ6c3BfbXRmOjMwMDA3NDk4NzczOTAwMjo6MDo6&url=%2FAurnoet-Lightning-Charging-Certified-Compatible%2Fdp%2FB0BGKBCDN3%2Fref%3Dsr_1_25_sspa%3Fdib%3DeyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw%26dib_tag%3Dse%26keywords%3Dfree%2Bshipping%26qid%3D1722199483%26sr%3D8-25-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,14,99
B0B87T4B4F,32,/sspa/click?ie=UTF8&spc=MTo0NDM5MzUyNjc0MTgxNDI2OjE3MjIxOTk0ODQ6c3BfbXRmOjIwMDA4NjMzMDA2ODA5ODo6MDo6&url=%2FCertified-Charger-USB-Lightning-Charging-Compatible%2Fdp%2FB0B87T4B4F%2Fref%3Dsr_1_26_sspa%3Fdib%3DeyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw%26dib_tag%3Dse%26keywords%3Dfree%2Bshipping%26qid%3D1722199483%26sr%3D8-26-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,7,98
B0CPFPS5RC,33,/sspa/click?ie=UTF8&spc=MTo0NDM5MzUyNjc0MTgxNDI2OjE3MjIxOTk0ODQ6c3BfbXRmOjMwMDEyNTIxOTg4NDUwMjo6MDo6&url=%2FSWYPE-Slim-Wallet-Money-Clip%2Fdp%2FB0CPFPS5RC%2Fref%3Dsr_1_27_sspa%3Fdib%3DeyJ2IjoiMSJ9.vpGZZ_JLt-Agob8mPhUiXHcy0ap-_40UD95nyd0SLHb8DPhAN9lkGde9aJMRzs-yS_XObBikMnbhE4B-p01tbqgd75Q8J0BE66b3f0huapTqh74QQzNUySo402lw0ZXO8_NRCgl0OAMgwXg2pWDL5GDgkO1escSg7h0u0MCW1dMq2vkm4RcoP5gmwID-L4qM-byaewpQhGzQ-L_L1UEwWxJyLTAEsxFJpwf0z8V43cHdfSncHuagJLCR4CGmlIBg3UhhgJFPHeXX9Jb86Nckp0lNIdzcRoR2UVl6VGhKHJQ.Kj1g2FH15LpyWj3K97TXeOfxJS6JTGdjHRwUS0UsRsw%26dib_tag%3Dse%26keywords%3Dfree%2Bshipping%26qid%3D1722199483%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,34,95
